x, y, theta
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.000,0.000, 0.000 
0.009,-0.000, -0.043 
0.090,-0.000, 0.000 
0.315,0.000, 0.215 
0.595,0.002, 0.258 
0.937,0.003, 0.344 
1.117,0.003, -0.516 
1.307,0.003, 0.387 
1.730,0.006, 0.516 
2.758,0.016, 0.602 
2.758,0.016, 0.602 
3.992,0.030, 0.645 
4.677,0.038, 0.732 
6.182,0.058, 0.775 
6.975,0.069, 0.861 
7.795,0.082, 0.904 
8.660,0.095, 0.904 
9.588,0.111, 1.033 
12.715,0.168, 1.076 
13.841,0.189, 1.033 
14.986,0.210, 1.076 
15.580,0.207, -1.764 
16.805,0.167, -1.936 
18.779,0.152, 1.033 
18.779,0.152, 1.033 
20.157,0.176, 0.990 
20.896,0.166, -2.539 
21.617,0.156, 0.904 
23.122,0.178, 0.775 
23.906,0.163, -2.969 
24.689,0.148, 0.775 
26.293,0.169, 0.775 
26.293,0.169, 0.775 
27.122,0.152, -3.184 
27.960,0.135, 0.818 
27.960,0.135, 0.818 
29.654,0.160, 0.904 
31.411,0.187, 0.861 
33.213,0.214, 0.861 
33.213,0.214, 0.861 
35.061,0.241, 0.818 
36.944,0.267, 0.775 
38.890,0.295, 0.861 
38.890,0.295, 0.861 
40.900,0.323, 0.732 
41.936,0.292, -4.217 
42.962,0.260, 0.688 
45.044,0.283, 0.559 
47.171,0.303, 0.559 
47.171,0.303, 0.559 
49.351,0.325, 0.559 
49.351,0.325, 0.559 
51.568,0.348, 0.645 
53.830,0.373, 0.602 
56.137,0.395, 0.516 
58.507,0.414, 0.387 
58.507,0.414, 0.387 
60.940,0.428, 0.301 
62.164,0.372, -5.551 
63.370,0.316, 0.215 
65.785,0.323, 0.129 
65.785,0.323, 0.129 
68.219,0.325, -0.043 
68.219,0.325, -0.043 
68.219,0.325, -0.043 
70.643,0.323, -0.086 
71.848,0.260, -5.852 
73.036,0.198, -0.172 
75.442,0.191, -0.129 
75.442,0.191, -0.129 
77.857,0.184, -0.215 
77.857,0.184, -0.215 
80.309,0.171, -0.387 
80.309,0.171, -0.387 
82.724,0.153, -0.473 
82.724,0.153, -0.473 
85.166,0.132, -0.516 
89.996,0.085, -0.602 
92.411,0.057, -0.688 
92.411,0.057, -0.688 
94.835,0.027, -0.732 
94.835,0.027, -0.732 
97.287,-0.006, -0.818 
99.729,-0.043, -0.947 
99.729,-0.043, -0.947 
100.951,-0.126, -6.799 
102.146,-0.208, -1.076 
102.146,-0.208, -1.076 
104.588,-0.255, -1.119 
107.003,-0.302, -1.119 
107.003,-0.302, -1.119 
110.633,-0.559, -6.971 
111.819,-0.645, -1.291 
114.261,-0.702, -1.420 
114.261,-0.702, -1.420 
116.702,-0.766, -1.549 
116.702,-0.766, -1.549 
119.161,-0.835, -1.678 
119.161,-0.835, -1.678 
121.594,-0.908, -1.764 
124.026,-0.987, -1.936 
124.026,-0.987, -1.936 
126.440,-1.068, -1.936 
126.440,-1.068, -1.936 
128.790,-1.150, -2.065 
131.150,-1.239, -2.238 
133.473,-1.333, -2.410 
134.639,-1.440, -8.004 
135.770,-1.544, -2.582 
138.029,-1.650, -2.797 
140.243,-1.764, -3.055 
141.337,-1.872, -8.305 
142.386,-1.979, -3.270 
144.464,-2.100, -3.399 
146.479,-2.222, -3.571 
146.479,-2.222, -3.571 
148.485,-2.350, -3.701 
150.427,-2.477, -3.787 
152.360,-2.607, -3.916 
152.360,-2.607, -3.916 
154.266,-2.740, -4.088 
156.073,-2.872, -4.217 
157.825,-3.004, -4.432 
158.694,-3.103, -8.606 
159.508,-3.198, -4.690 
161.115,-3.333, -4.905 
162.669,-3.469, -5.121 
162.669,-3.469, -5.121 
164.185,-3.608, -5.336 
165.675,-3.748, -5.422 
167.146,-3.890, -5.594 
167.879,-3.985, -9.122 
168.585,-4.077, -5.723 
170.010,-4.220, -5.766 
171.355,-4.356, -5.766 
172.008,-4.440, -8.907 
172.642,-4.522, -5.852 
173.861,-4.649, -6.024 
175.035,-4.775, -6.239 
176.155,-4.900, -6.454 
177.220,-5.023, -6.756 
177.220,-5.023, -6.756 
178.222,-5.144, -7.014 
179.161,-5.262, -7.315 
179.161,-5.262, -7.315 
180.055,-5.379, -7.573 
180.921,-5.496, -7.788 
180.921,-5.496, -7.788 
181.733,-5.608, -7.917 
182.510,-5.717, -8.047 
182.893,-5.777, -9.897 
183.585,-5.898, -9.897 
183.905,-5.949, -8.348 
184.556,-6.045, -8.391 
185.154,-6.133, -8.434 
185.154,-6.133, -8.434 
185.706,-6.215, -8.434 
186.197,-6.289, -8.563 
186.624,-6.354, -8.735 
187.016,-6.415, -8.907 
187.203,-6.445, -9.811 
187.354,-6.470, -9.079 
187.648,-6.518, -9.294 
187.648,-6.518, -9.294 
187.896,-6.559, -9.467 
188.092,-6.592, -9.639 
188.243,-6.618, -9.854 
188.314,-6.630, -10.198 
188.349,-6.637, -10.026 
188.412,-6.648, -10.155 
188.429,-6.651, -10.241 
188.429,-6.651, -10.241 
188.438,-6.653, -10.284 
188.429,-6.651, -10.327 
188.412,-6.648, -10.241 
188.412,-6.648, -10.241 
188.385,-6.643, -10.198 
188.385,-6.643, -10.198 
188.367,-6.640, -10.112 
188.367,-6.640, -10.112 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
188.376,-6.641, -10.069 
